Title,Company,Working Place,Location,Post Date,Number of Positions,Applicants,Career Level,Education,Salary,Job Category,Skills,Job Description
Sales Account Executive,Full Time,On-site,,Posted 12 days ago,11,10 open positions,0 To 3 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,"8000 To 10000 EGP Per Month, Monthly Commission 2 Days Off Social And Medical Insurance",Sales/Retail,Communication English negotiation skills Sales sales skills Sales Target Administration Arabic business Business Administration Customer Service Management Negotiation Relationship Management
Sales and Operation Manager,Full Time,On-site,,Posted 2 months ago,101,1 open position,3 To 5 Years,Manager,Bachelor'S Degree,Confidential,Logistics/Supply Chain,Logistics Operations Sales Business Administration Communication skills Sales Target Customer Service Administration
HR internship,Full Time,On-site,,Posted 29 days ago,416,2 open positions,0 To 2 Years,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Human Resources,HR Human Resources HR internship
Sales Engineer,Full Time,On-site,,Posted 10 days ago,9,1 open position,2 To 5 Years,Experienced (Non-Manager),Not Specified,Confidential,Engineering - Telecom/Technology,HVAC Systems Chillers Sales Engineering Mechanical Engineering
Arabic Teacher,Full Time,On-site,,Posted 9 days ago,31,1 open position,More Than 4 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Education/Teaching,Education Teaching Arabic Teaching organization skills Educational teacher Arabic
Industrial Engineer (Textile Production Line),Full Time,On-site,,Posted 18 days ago,65,1 open position,0 To 1 Year,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Manufacturing/Production,Applied Arts Industrial Production
VP assitant,Full Time,On-site,N/A,Posted 22 days ago,22,1 open position,2 To 5 Years,Experienced (Non-Manager),Not Specified,Confidential,Administration,Administration Engineering assitant MS Office Business Development
Purchasing Specialist - Kafr Alsheikh,Full Time,On-site,N/A,Posted 1 month ago,16,1 open position,5 To 7 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Logistics/Supply Chain,Procurement Purchasing Strategies Logistics Purchasing Vendors Supply Chain Sourcing Microsoft Communication Microsoft Office
Administrative Assistant - Remote Receptionist,Full Time,Remote,,Posted 2 months ago,195,1 open position,2 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,"12000 To 18000 EGP Per Month, Salary Based On Experience And Background",Administration,Administration administrative Computer Skills English Microsoft Office Office management Typing Writing Skills
Treasury Accountant,Full Time,On-site,,Posted 1 month ago,169,1 open position,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,Accounting Finance Treasury Banking Treasury Accounting Treasury Management Oracle Microsoft Office Financial Accounting Financial Reporting Accounting Reports
Senior Cost Accountant,Full Time,On-site,,Posted 2 months ago,80,1 open position,5 To 10 Years,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,Accounting Cost Accounting ERP Finance Financial Analysis Costing Cost CMA SAP Manufacturing Financial Management Financial Accounting excel
Graphic Designer,Full Time,Remote,,Posted 25 days ago,208,1 open position,1 To 2 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Creative/Design/Art,Adobe Photoshop Adobe illustrator Graphic Design graphic designer Design Graphic illustrator Marketing photoshop Video Editing Web Design Creative Advertising
Planning Engineer (Fresh graduated ),Full Time,On-site,,Posted 1 month ago,129,1 open position,5 To 7 Years,Experienced (Non-Manager),Not Specified,Confidential,Manufacturing/Production,Planning Engineer Project Management Planning Engineering engineer Automotive Mechanical Mechanical Engineering
Customer Care Quality Officer,Full Time,On-site,,Posted 2 months ago,25,1 open position,1 To 5 Years,Experienced (Non-Manager),Not Specified,6000 To 8000 EGP Per Month,Customer Service/Support,Customer Care Customer Service Customer Support Microsoft Office Performance quality Quality Assurance Management
Midlevel Backend Developer (.NET Core),Full Time,On-site,,Posted 1 month ago,130,1 open position,3 To 5 Years,Experienced (Non-Manager),Not Specified,0 To 0 EGP Per Month,Other,Full Stack Full Stack Developer Information Technology (IT) NET Software Development Stack Computer Science JavaScript developer
B2B Sales Executive,Part Time,Remote,,Posted 2 months ago,41,1 open position,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, Commission",Business Development,business B2B Communication Fashion Presentation Sales sales skills analytical Business Planning Planning Sales Target
chief accountant,Full Time,On-site,N/A,Posted 2 months ago,61,1 open position,7 To 10 Years,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,Accounting Financial Analysis chief accountant Financial Management excel Finance
Cost Accountant,Full Time,On-site,N/A,Posted 1 month ago,28,1 open position,1 To 3 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,Accounting Cost Accounting Odoo
Maintenance Manager,Full Time,On-site,,Posted 22 days ago,149,1 open position,10 To 15 Years,Manager,Not Specified,Confidential,Installation/Maintenance/Repair,Engineering Maintenance Mechanical Engineering
Financial Accountant,Full Time,On-site,,Posted 23 days ago,70,2 open positions,5 To 8 Years,Experienced (Non-Manager),Bachelor'S Degree,"10000 To 13000 EGP Per Month, HEALTH INSURANCE After 3 Months.",Accounting/Finance,accountant Financial Management Finance Financial Financial Accountant
Receptionist,Full Time,On-site,,Posted 9 days ago,22,1 open position,0 To 5 Years,Entry Level (Junior Level / Fresh Grad),Not Specified,Female,Administration,Admin office Office Administration Communication Microsoft Office Office Equipment Administration Office management excel
Mechanical technical office and proposal engineer,Full Time,On-site,,Posted 26 days ago,15,1 open position,3 To 4 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Engineering - Mechanical/Electrical,Mechanical Engineering technical Design Plumbing Computer Skills AutoCAD HVAC Mechanical
outdoor sales Representative,Full Time,On-site,,Posted 10 days ago,Be the First to Apply,N/A,3 To 10 Years,Experienced (Non-Manager),Not Specified,Confidential,Customer Service/Support,Computers Communication skills Home appliances Negotiation sales skills Sales Target Internet Experience Customer Service
HSE Engineer,Full Time,On-site,,Posted 14 days ago,63,1 open position,1 To 3 Years,Experienced (Non-Manager),Not Specified,Confidential,Engineering - Other,HSE Safety Engineering Chemical Engineering Chemical
Real Estate Sales Representative,Full Time,On-site,,Posted 1 month ago,55,20 open positions,0 To 5 Years,Entry Level (Junior Level / Fresh Grad),Not Specified,"Confidential, Commissions",Customer Service/Support,Real Estate Real Estate Agent Sales sales skills Sales Target
Steel Fabrication QC&QA Director,Full Time,On-site,N/A,Posted 1 month ago,19,1 open position,12 To 16 Years,Manager,Bachelor'S Degree,Males Preferred,Engineering - Construction/Civil/Architecture,QC HSE opreation QA
Online Sales Specialist,Full Time,On-site,,Posted 2 months ago,40,1 open position,1 To 3 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Sales/Retail,Communication Online Sales Sales sales skills Marketing SEO
Material Planning Engineer,Full Time,On-site,,Posted 2 months ago,41,1 open position,3 To 5 Years,Experienced (Non-Manager),Not Specified,Confidential,Engineering - Construction/Civil/Architecture,Engineering material engineer Material Planning Planning Planning Engineer Project Management Construction
Studio Manager,Full Time,On-site,,Posted 11 days ago,11,1 open position,2 To 3 Years,Experienced (Non-Manager),Not Specified,Confidential,Marketing/PR/Advertising,Photography media studio management Videography
Technical Office Engineer,Full Time,On-site,,Posted 1 month ago,83,1 open position,4 To 8 Years,Experienced (Non-Manager),Not Specified,11000 To 14000 EGP Per Month,Engineering - Construction/Civil/Architecture,Civil Civil Engineering Shop Drawings Technical Office Engineering Technical Office BOQ
Planning Manager,Full Time,On-site,,Posted 1 month ago,127,1 open position,6 To 10 Years,Manager,Bachelor'S Degree,Confidential,Logistics/Supply Chain,Planning Management Production Planning Material Planning Supply Chain supply chain management chain Supply
Financial Manager,Full Time,On-site,N/A,Posted 8 days ago,311,1 open position,5 To 10 Years,Manager,Not Specified,Confidential,Accounting/Finance,Accounting CPA Finance Financial Financial Analysis Financial Statistics Financial Management
Expert Trainer in Industrial Quality Programs,Full Time,Remote,N/A,Posted 1 month ago,25,1 open position,More Than 10 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Training/Instructor,Training Quality Assurance Manufacturing Industry Industrial Engineering ISO standards Textile Industry Filling and Packaging Industry
Mechanical Technical Office Engineer,Full Time,On-site,,Posted 1 month ago,49,1 open position,3 To 10 Years,Experienced (Non-Manager),Bachelor'S Degree,Male,Engineering - Construction/Civil/Architecture,Engineering Mechanical Mechanical Engineering Mechanical Technical Office technical office engineer engineer technical Technical Office Construction AutoCAD Finishing
"Full-Stack Developer (Angular, C#, MS SQL) || Alexandria",Full Time,On-site,,Posted 2 months ago,75,2 open positions,1 To 6 Years,Experienced (Non-Manager),Not Specified,15000 To 18000 EGP Per Month,IT/Software Development,Angular C Full-Stack JavaScript MS SQL .Net CSS RESTful APIs
Facility Engineer (Electrical),Full Time,On-site,,Posted 2 months ago,50,1 open position,1 To 3 Years,Experienced (Non-Manager),Not Specified,Confidential,Installation/Maintenance/Repair,Electrical Engineering Facility Management Engineering Electrical ERP UPS Chillers ATSM Power Generation
Marketing Supervisor,Full Time,On-site,N/A,Posted 9 days ago,16,1 open position,3 To 7 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Marketing/PR/Advertising,English Communication Market Research Marketing Sales Supervisor Social Media Branding business Digital Marketing Real Estate Customer Service
Administrative Assistant,Full Time,On-site,,Posted 1 month ago,97,1 open position,2 To 3 Years,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Administration,administrative Assistant Office management administrative assistant Secretary Administration excel English Microsoft Office
Financial Analyst,Full Time,On-site,N/A,Posted 11 days ago,87,1 open position,3 To 7 Years,Experienced (Non-Manager),Not Specified,Male,Accounting/Finance,Accounting Commerce Analyst Analysis Finance Financial Analysis Planning Forecasting Economics Financial Power BI Microsoft Power BI Financial Data Analysis Business Analysis
Sales Operation,Full Time,On-site,,Posted 2 months ago,18,1 open position,3 To 6 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Customer Service/Support,Operations Sales excel Skills Microsoft Office Data Entry Data Analysis
Senior Marketing Executive,Full Time,On-site,,Posted 1 month ago,7,1 open position,3 To 6 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Marketing/PR/Advertising,Marketing Campaigns Marketing media Social Media Design Branding Writing CRM Research
Legal Translator,Full Time,On-site,,Posted 1 month ago,123,1 open position,3 To 20 Years,Experienced (Non-Manager),Not Specified,5000 To 35000 EGP Per Month,Administration,Editing Legal Translation Translation Writing translator
Account Manager,Full Time,On-site,,Posted 17 days ago,32,8 open positions,2 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Project/Program Management,Sales English Experience Team Player Sales Target Customer Service sales skills
Sales Export Engineer- African Countries,Full Time,On-site,,Posted 2 months ago,26,1 open position,5 To 7 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Sales/Retail,Electrical Electrical Engineering Export french sales skills Sales Target Skills Engineering Export Sales African countries Communication English Sales
Business Development Executive,Full Time,On-site,,Posted 28 days ago,31,1 open position,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Business Development,Advertising B2B Communication Customer Service Design Negotiation negotiation skills Sales sales skills sales targets Skills Sales Target Business Development
Agro Quality Specialist,Full Time,On-site,,Posted 3 days ago,24,1 open position,More Than 3 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Quality,Agriculture Quality Control MS Quality Assurance quality Science Agricultural Engineering Education Engineering MS Office QA Skills
